Model,Parameter,Value
LogisticRegression,solver,liblinear
LogisticRegression,penalty,l1
LogisticRegression,l1_ratio,0.5
LogisticRegression,C,10
RandomForest,n_estimators,100
RandomForest,min_samples_split,2
RandomForest,min_samples_leaf,1
RandomForest,max_features,sqrt
RandomForest,max_depth,10
RandomForest,bootstrap,False
GradientBoosting,subsample,0.8
GradientBoosting,n_estimators,50
GradientBoosting,min_samples_split,2
GradientBoosting,min_samples_leaf,1
GradientBoosting,max_depth,3
GradientBoosting,learning_rate,0.1
AdaBoost,n_estimators,100
AdaBoost,learning_rate,0.5
AdaBoost,algorithm,SAMME
SVM,kernel,rbf
SVM,gamma,auto
SVM,degree,3
SVM,C,0.1
KNN,weights,distance
KNN,p,1
KNN,n_neighbors,11
KNN,metric,manhattan
DecisionTree,min_samples_split,5
DecisionTree,min_samples_leaf,5
DecisionTree,max_features,None
DecisionTree,max_depth,5
DecisionTree,criterion,entropy
MLP,solver,adam
MLP,learning_rate,constant
MLP,hidden_layer_sizes,"(50,)"
MLP,alpha,0.001
MLP,activation,relu
