Feature,Selected_by_univariate,Selected_by_rfe,Selected_by_mutual_info
BounceRates_sqrt,True,True,False
Month_Sep,False,True,False
Page_Value_Per_Product,True,True,True
Month_May,False,True,False
PageValues_cubed,False,False,True
Month_Jul,False,True,False
BounceRates,True,True,True
Month_June,False,True,False
PageValues_squared,True,False,True
ProductRelated_Duration,True,False,True
Administrative,True,False,False
Bounce_Exit_Interaction,True,False,True
Month_Oct,False,True,False
Avg_Duration_Per_Page,False,False,True
ExitRates_cubed,True,False,True
Month_Feb,False,True,False
BounceRates_squared,False,False,True
ExitRates_squared,True,True,True
VisitorType_Returning_Visitor,False,True,False
Weekend_True,False,True,False
ProductRelated,True,False,False
ExitRates,True,True,True
Month_Numeric,False,True,False
Session_Quality_Score,True,False,True
ExitRates_sqrt,True,True,True
PageValues,True,False,True
BounceRates_cubed,False,False,True
Total_Duration,True,False,True
Month_Nov,True,False,False
PageValues_log,True,True,True
ExitRates_log,True,True,True
Month_Dec,False,True,False
PageValues_sqrt,True,True,True
BounceRates_log,True,True,True
